つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
小林愛 (声優)	love_me_ai	（株）グラート 所属 役者。 声優。ナレーター。 元、TEAM発砲・B・ZIN劇団員。 現在、立ち回り集団「和太刀」のメンバーとして活動中。和太刀 ブログ http://t.co/PLb3IAAbDO
野宮一範	nomiya0000	声の仕事をしつつワンフェスに参加したりしてるモデラー役者です。重にメカ物を作ってます。好きなものは特撮とメカ、ガンダム、スパロボ、よろしくです！
三好りえ	3rie333	I work as a voiceactor in　Japan.☆アニメ「ウィーザード・バリスターズ弁魔士セシル」須藤芽美役、ディズニーCH「グッドラック・チャーリー」ゲイブ・レギュラー出演中★ネットゲーム「リング★ドリーム」主題歌PV歌ってます♪その他、吹き替えや朗読会に落語、liveを定期的に開催中♪
古本新乃輔	shinnosu8011	AlohaticShop『PUALILI』店長。http://t.co/ZcjvSwHDnI ハードファンクバンド『１７才』Vo.。http://t.co/WPhG87ouAc笑顔にはじまり ココロに向日葵。
土田健太	tsuchida101	マンガ描いたりしています。「LOCK ON!」　ジャンプ+で「マイアニマル」連載中　よろしくお願いします。
川口幸範	kuwagata32	TGC 会員
附田祐斗	tsukudayuto	漫画家です。北九州市→大阪府南河内郡→川崎市→調布市→多摩市
中島良	ryo_nakajima	映画やTVドラマの企画・監督をしています。監督作　映画 俺たちの明日
村瀬克俊	the_beermen	漫画家。 Refre'k所属。ジャンプ＋で金曜配信『カラダ探し』の漫画担当。YJCｷｯｸﾎﾞｸｼﾝｸﾞ漫画『モングレル』1～４巻発売中。ジャンプLIVE『ブラジルなう！』配信中。過去作品、JC「Ｋ.Ｏ.ＳＥＮ」全2巻。「DOIS　SOL　-ドイソル-」全2巻。
もたい陽子	motayoo	舞台11/26-12/2 OFFOFFシアター aibook『気がつけば、あした。』 /NISSANあ、安部礼司：安部優役／ソラトニワ銀座月曜14時〜16時「もたこって呼んで下さいっ！」パーソナリティ/お仕事・プロフィールのお問い合わせは⇒mota_motaco@yahoo.co.jp
金田進一	teddy0113	毎日の一言を大切にしていきたいと思ってます。。どうぞよろしくお願いします。。
マコト	span_makoto	あとですか? ハイスタと東京事変とJOJOとちびまる子ちゃんです。
桜井聖良	seirasakurai	競馬タレント・ウマドルの桜井聖良です。 オーストラリア馬留学から帰国。 ２０１4年４月から本格的に活動を再開！大好きなゲーム「スターホース」さんのサトノギャラクシー日誌を担当中☆http://t.co/jXbC9TaDMrニコジョッキー「億万長者への道」もレギュラー出演中なのでぜひ見てくださいね☆
小安和也	koyakkuma	お金にだらしない以外は、ほぼパーフェクトな人間です♪(´ε｀ )基本的にツイートはプロフ含め、東スポ感覚で見てください✋
富沢希	NoziTomizawa	1999年にオーストラリアでジョッキーライセンスを取得、以来ずっと海外生活しながら馬に乗っています/ Half of my life in Japan, Half of my life in Australia. Iv ridden horse racing in 5different countries
小林拓未	mjgdpd	大井競馬で騎手してます 好きな食べ物たこ焼きです ワンピース大好き サッカーゎ浦和レッズで野球ゎ西武ライオンズを応援してる埼玉県人です
森川次朗	jirorincyo	こんにちは。じろうです。踊ったり芝居したり振り付けしたりして生きてます。色んなサークルの主もやってます。 一日一善。
井手綾香	ide_ayaka	21歳です。だいぶ顔と年齢が合ってきた気がします。みやざき大使になりました、SSW井手綾香のオフィシャルです。 4月16日、2ndアルバム『ワタシプラス』リリース！
坂東亀三郎	otowayabando	歌舞伎役者・坂東亀三郎。立役・五代目・音羽屋・鶴の丸／結び八重喰。11/08/06から開始。東京ヤクルトスワローズ&つば九郎・NPBが大好物、hideさんやV系全般、宝塚歌劇や稀に歌舞伎や倅マンについても呟くよ。【フランク三浦上級工作員特別広報部部長】
安藤輝子	teruru1019	Things I LOVE: Family、Friends、Music、Movie、Namie Amuro、Ayaka、Jun Hasegawa、Nicole Richie、 GAMBA OSAKA  http://t.co/diFv9UH5kR　
中多愛	nakatamegumi	シンフォニア所属、仲田恵美です！モデル、タレントですʢ•ꇵ•ʡ宜しくお願いします♡
Rayflower	Flower_Language	Rayflower Offical TwitterKey: 都啓一(Keiichi Miyako)  Vo: 田澤孝介(Takayuki Tazawa)  Gt: YUKI  Ba: IKUO  Dr: Sakura
PE’Z	PEZ_OFFICIAL	PE'Z OFFICIAL Twitter
芦辺拓	ashibetaku	零細探偵小説家です。仕事はhttp://t.co/8vImO3fu またの名を森江春策Ｐと申しまして、ニコマス動画、ラブライブ！、AGC38など、どこでも平均年齢を押し上げてます。
丸山天寿	tenjumaruyama	古本屋。田舎の物書き。郷土史研究者。ほらふき爺と呼ばれています。怪しい物・伝説・言い伝え大好き。強い視力障害があり全てのツイートが読めずに、よく誤字、脱字やツイートの見逃しをやらかします。体調の関係で午前中のわずかな時間しか呟きません。ご容赦下さい。アイコンはイラストレーターのイクタケマコト ‏先生に描いて頂きました
鳥飼否宇	hiutorikai	想像上の人殺しを生業にしているドラゴンズ好きのおぢさんです。鳥も虫も好きで、奄美野鳥の会の会長をやっています。
藤岡真	fujiokashin	ミステリ作家。本格ミステリ作家クラブ会員。空手道拳道会池袋本部道場塾頭。
マイア・ヒラサワ	maiahirasawa	みなさんこんにちは。このツイッター日本語で頑張ります。宜しく！For you who not read japanese, please go to @maiahirasawaswe
しほり	shihori94	ピアノ弾き語リスト。作詞・作曲家／カリスマニドネスト歌手→ゼクシィCMソング他／作詞作曲→水樹奈々「ミュステリオン」、ももクロ「GOUNN」、Buono!「初恋サイダー」、中川翔子「つよがり」、マクロスF「ユニバーサル・バニー」、三森すずこ、ELISA、南條愛乃、奥井雅美、米倉千尋、堀江由衣、麻生夏子
雨宮処凛	karin_amamiya	作家・活動家。公式サイトはhttp://t.co/Kul3K3eKMN
川原礫	kunori	寝たり食ったり読んだり書いたり
橋本愛奈	aitune84	毎度お馴染み、橋本愛奈です。THEポッシボーのはしもんとも言います。文字がすき。ことば遊び、、。ファッションもすき。意外と小さいです、。
城戸康裕	KIDOyasuhiro	WBKF -70級 世界王者K-1 MAX 日本王者Krush -70 王者きーちゃんのつぶやきを、聞きたいむえたい
HIROYA	K1_Hiroya	1992/01/06 22歳 神奈川県キックボクサーで、Krush初代-65kg級チャンピオン。HIROYAです。Krushをメインに試合をしています。格闘技を再び世の中へ！よろしくお願いします。
金原弘光	kane8ra	プロレスラー、格闘家、不惑の40を過ぎたのに戸惑ってばかり(・・;)俺のボヤキを聞いてちょ。 中野、ゴールドジム内にてU.K.R.金原道場も主催しています。
浪川大輔	namidai0402	いろいろ頑張って生きてます。これからも何とかやっていきたいです。
ROLLY	RollyBocchan	Japanese musician／Actor 礼儀作法、言葉使いにとても厳しい粘着質の特殊音楽家（ロック、シャンソン、ジャズ、クラシック、演劇、読み聞かせ）妄想ストーカー行為 写真等の無断使用は厳禁。無礼者は即ブロック後実名で通報します。http://t.co/trMqFLZpVY?v=CcJWHdwD3ho
クロリサ	kuro_risa	28才 地黒 あいのり行ってました♡ 3年間のOLを経て、ブログ書いたり http://t.co/kpOHh3IfIr WebSHOP♡ clorisahttp://www.clorisa.jp/ ラジオのパーソナリティ♡ 土曜11:00〜ラジオWeekendfun！ してます。仲良くして下さい⋈
紀氏隆秀	Takahide_01	そだちは、兵庫県の北部に位置する素晴らしい街豊岡市。実家は、浄土宗 来迎寺。よろしくお願いします。　　　　　　　　　　　　　　経歴　豊岡FC−ヴィッセル神戸Jr.Y ー ヴィッセル神戸.Y ー ヴィッセル神戸 - ガイナーレ鳥取− ヴィッセル神戸−FC大阪
佐々木勇人	hayaaaaam	ベガルタ仙台の佐々木勇人です。宮城県塩釜市出身！塩釜高校卒・大阪学院大学卒です。よろしく☆いい肉の日に産まれました(^^)
林陵平	Ryohei_h11	モンテディオ山形8番。サッカー、イブラヒモビッチ大好きです☆
森下悠里	yuuri905590	３サイズ上から90、55、90のグラビアアイドル☆日々お仕事やプライベートをリアルタイムでﾂｲｰﾄしてくよ〜☆特技は料理とグラビアポーズ☆これからはマッサージの本場タイでマッサージの資格も取ってく予定♪お仕事はテレビとグラビアを中心にプライベートでは料理とマッサージを本格的に技を磨きます☆皆と仲良くしたい♪ヨロシクね☆
疋田紗也	saya_hikita	疋田紗也です！ヒキタって読みます！グラビアアイドルやりつつ、スピリチュアルアイドルと言われてます。フォローしてくれたらスピリチュアルパワー電磁波で送ります。東京おとめ太鼓withさやとしてボーカル担当してます。FF14復活♡アメブロもやってるから来てね♡
せんちゃん	Cool1000chan	どーも、せんちゃんです。初心者です。優しくしてください。清春さん、マキシマムザホルモン大好き！サッカーやるの大好きです！ワタナベエンターテインメント所属
狩野英孝	kano9x	皆さんの心のオアシス的存在、狩野です(^_^)v
後藤陽介	yosuke_dream	ボートレーサー4062です☻ 思考は現実化する！ 人として、親として、選手として毎日向上心を持って！ 現状維持は要りません。常に前へ！ポジティブなtweetに徹します。
堤太輝	DORIANS223	「どりあんず」というコンビ、痩せてるツッコミの方☆
矢野ペペ	yanohirotaka	福岡でお笑い芸人をやっております。初めてネット的なものに飛びこんでみました。よろしくお願いします。
おたこぷー	otakopupu	YouTubeも見てみてガイーン
塚本直毅	lovele_tsuka	ラブレターズの塚本です。写真の昇天した顔の方。テニスとアメフトと映画が好き。昔ハモネプ出たことあるよ。
溜口佑太朗	loveletterztame	Ash&Dコーポレーション 「ラブレターズ」 「劇団拙者ムニエル」所属 スワローズ大好き！ 五月みどりさん公認 お返事は返したり返さなかったりします。 ラブレターズのオールナイトニッポン０毎週金曜27時〜。
ツネ (2700)	2700TSUNE	よしもと所属 2700というチームのダンサーやってます！ツネです！！【特技】 逆立ちプリン、人間ポンプ、水着の早着替え、左右のひじを交互に見せるYouTubeで「ツネのこれやりたかってん」で検索してね！
きいさつき	keysatsuki	■あなたのKeyパーソンになりたい紀伊さつき(Key Satsuki)です。■京都産。■ナレーター・声優・朗読講師。■La＊pin(らぱん。)の「メイ」は同じ人 。■紅茶/桃/チョコ/淡色/星空/うさぎ/犬/お散歩/歌/写真/お昼寝がすき。■2014.3まで「きいさつき」■ポンバシwktkメイツ卒業生(出席番号４番)
